speech_recognition,start,end,max_confidence,mean_confidence,recognized_text
speech,1.25,2.25,0.9999022483825684,0.999443531036377,hear the word
speech,2.25,3.25,0.9792683124542236,0.9678991436958313,man it is
speech,3.25,4.25,0.9659153819084167,0.9476261734962463,you think
speech,7.25,8.25,0.999966025352478,0.9993460178375244,lamia the
speech,8.25,9.25,0.9737827777862549,0.9526122212409973,humanity's sound
speech,9.25,10.25,1.0,1.0,academic
speech,10.25,11.25,0.9999667406082153,0.9994158744812012,that really it's all
speech,11.25,12.25,0.9999932050704956,0.9998823404312134,that exploring what
speech,12.25,13.25,0.8260468244552612,0.8078229427337646,the make and
speech,13.25,14.25,0.7990835309028625,0.7450324892997742,the
speech,14.25,15.25,0.9949591159820557,0.9853336811065674,humanity's deep and
speech,15.25,16.25,0.9999961853027344,0.9999664425849915,understanding of
speech,16.25,17.25,0.9316956996917725,0.895638644695282,we are
speech,17.25,18.25,1.0,0.9999980926513672,and help us make me
speech,18.25,19.25,0.9132586717605591,0.8825703263282776,and be
speech,19.25,20.25,1.0,1.0,the out of our lives
speech,20.25,21.25,0.9378862977027893,0.901775062084198,for it
speech,21.25,22.25,0.9999994039535522,0.9999364614486694,both
speech,22.25,23.25,1.0,1.0,say you're in a book club
speech,23.25,24.25,0.9923359751701355,0.9802901744842529,discussing virginia
speech,24.25,25.25,0.9289557337760925,0.9033045768737793,well
speech,25.25,26.25,0.9999998807907104,0.9999986886978149,how about classic
speech,26.25,27.25,1.0,1.0,poetry
speech,27.25,28.25,0.9847694635391235,0.9490802884101868,are you upset
speech,28.25,29.25,0.9999995231628418,0.9999642968177795,with movie review
speech,29.25,30.25,0.9999958276748657,0.9999549388885498,for a three by
speech,30.25,31.25,1.0,1.0,the series on free
speech,31.25,32.25,0.7665385603904724,0.7407371401786804,carlo
speech,32.25,33.25,0.9072595238685608,0.8430085778236389,for a deep
speech,33.25,34.25,0.9928846955299377,0.9839305877685547,the into world war two
speech,34.25,35.25,0.9442398548126221,0.9070137739181519,
speech,36.25,37.25,1.0,1.0,poetry litter
speech,37.25,38.25,1.0,1.0,sure history
speech,38.25,39.25,1.0,1.0,criticism
speech,39.25,40.25,0.9994526505470276,0.9978840351104736,they're all part of the human
speech,40.25,41.25,0.9955748319625854,0.990140438079834,these
speech,42.25,43.25,0.9682785868644714,0.9454193711280823,this
speech,44.25,45.25,0.922112226486206,0.8976920247077942,that
speech,46.25,47.25,0.9086419343948364,0.8856472969055176,damn
speech,49.25,50.25,0.9999629259109497,0.9995018243789673,exploring the arts
speech,50.25,51.25,0.9977486729621887,0.9936559796333313,then you probably have
speech,51.25,52.25,0.9575313925743103,0.9345476627349854,if the humanities
speech,52.25,53.25,0.949906587600708,0.9181440472602844,
speech,53.25,54.25,0.9750298857688904,0.9437615275382996,maybe you're learning job
speech,54.25,55.25,0.9999998807907104,0.9999882578849792,the nice for your next thing
speech,55.25,56.25,0.8942551612854004,0.8614558577537537,haitian
speech,57.25,58.25,0.9999996423721313,0.9999943375587463,are studying for
speech,58.25,59.25,0.9999984502792358,0.999937117099762,the for your fiance
speech,59.25,60.25,0.9368129372596741,0.9119476079940796,well
speech,60.25,61.25,0.9785588979721069,0.9644652009010315,language
speech,61.25,62.25,0.9984996318817139,0.9941503405570984,this era yep
speech,62.25,63.25,0.9999995231628418,0.9999907612800598,part of the humanity
speech,63.25,64.25,0.7940906286239624,0.7240400910377502,the
speech,65.25,66.25,0.981143593788147,0.9574729800224304,here's the thing
speech,66.25,67.25,0.9918551445007324,0.9752244353294373,everywhere
speech,67.25,68.25,1.0,0.999998152256012,the humans
speech,68.25,69.25,1.0,1.0,find the humanity
speech,69.25,70.25,0.9471468925476074,0.920026421546936,it's about
speech,70.25,71.25,1.0,0.9999977946281433,understanding who we
speech,71.25,72.25,0.949416995048523,0.9261056780815125,and the
speech,72.25,73.25,0.913049042224884,0.8947721123695374,for me
speech,73.25,74.25,0.9978222846984863,0.9935485124588013,the together
