speech_recognition,start,end,max_confidence,mean_confidence
non-speech,0.89,1.25,0.32560136914253235,0.32560139894485474
non-speech,1.25,1.56,0.430936723947525,0.4309367537498474
speech,2.25,3.25,0.9999667406082153,0.999418318271637
speech,3.25,4.25,0.9509044289588928,0.9065015316009521
speech,4.25,5.25,0.9298655390739441,0.9107019901275635
speech,5.25,6.25,0.9978563189506531,0.9928683638572693
speech,7.25,8.25,1.0,1.0
speech,8.25,9.25,1.0,1.0
speech,9.25,10.25,1.0,0.9999997019767761
speech,10.25,11.25,1.0,1.0
speech,11.25,12.25,0.9999995231628418,0.999993085861206
speech,12.25,13.25,0.9999996423721313,0.9999827742576599
speech,13.25,14.25,0.8294448852539062,0.8089423179626465
speech,14.25,15.25,0.9999393224716187,0.9993589520454407
speech,15.25,16.25,0.9999929666519165,0.9996482133865356
speech,16.25,17.25,1.0,1.0
speech,17.25,18.25,0.9949826002120972,0.9863512516021729
speech,18.25,19.25,1.0,1.0
speech,19.25,20.25,1.0,1.0
speech,20.25,21.25,0.9996845722198486,0.9977855682373047
speech,21.25,22.25,0.990476131439209,0.9783697724342346
speech,22.25,23.25,0.9957870841026306,0.9852504134178162
speech,23.25,24.25,1.0,1.0
speech,24.25,25.25,1.0,1.0
speech,25.25,26.25,1.0,1.0
speech,26.25,27.25,1.0,1.0
speech,27.25,28.25,1.0,1.0
speech,28.25,29.25,1.0,1.0
speech,29.25,30.25,0.9999991655349731,0.9999589323997498
speech,30.25,31.25,1.0,1.0
speech,31.25,32.25,1.0,1.0
speech,32.25,33.25,0.9517831206321716,0.9113391637802124
speech,33.25,34.25,0.999962568283081,0.9995887875556946
speech,34.25,35.25,1.0,1.0
speech,35.25,36.25,1.0,0.9999969601631165
speech,36.25,37.25,1.0,1.0
speech,37.25,38.25,0.9291579723358154,0.9042938351631165
speech,38.25,39.25,1.0,1.0
speech,39.25,40.25,1.0,1.0
speech,40.25,41.25,0.9800044894218445,0.9623991250991821
speech,41.25,42.25,1.0,0.9999980926513672
speech,42.25,43.25,1.0,1.0
speech,43.25,44.25,1.0,1.0
speech,44.25,45.25,0.999998927116394,0.9999580383300781
speech,45.25,46.25,1.0,1.0
speech,46.25,47.25,1.0,1.0
speech,47.25,48.25,1.0,1.0
speech,48.25,49.25,0.9986751675605774,0.995063304901123
speech,49.25,50.25,1.0,1.0
speech,50.25,51.25,1.0,0.9999997019767761
speech,51.25,52.25,0.9437054395675659,0.9024344682693481
speech,52.25,53.25,1.0,1.0
speech,53.25,54.25,1.0,1.0
speech,54.25,55.25,1.0,1.0
speech,55.25,56.25,1.0,1.0
speech,56.25,57.25,1.0,1.0
speech,57.25,58.25,0.9826446175575256,0.965583324432373
speech,58.25,59.25,0.8626906275749207,0.8311778903007507
speech,59.25,60.25,0.9994168281555176,0.9969522953033447
speech,60.25,61.25,1.0,1.0
speech,61.25,62.25,1.0,1.0
speech,62.25,63.25,0.951154351234436,0.9314793348312378
speech,63.25,64.25,0.9999964237213135,0.9998970031738281
speech,64.25,65.25,0.9936478734016418,0.9842355251312256
speech,65.25,66.25,0.9864352345466614,0.9717671275138855
speech,66.25,67.25,1.0,1.0
speech,67.25,68.25,1.0,0.9999997019767761
speech,68.25,69.25,0.999705970287323,0.9979888200759888
speech,69.25,70.25,0.9961876273155212,0.9900561571121216
speech,70.25,71.25,1.0,1.0
speech,71.25,72.25,1.0,1.0
speech,72.25,73.25,1.0,1.0
speech,73.25,74.25,0.9763996601104736,0.9484224915504456
speech,74.25,75.25,0.8940876126289368,0.8523573279380798
speech,75.25,76.25,0.9999995231628418,0.9999902248382568
speech,76.25,77.25,1.0,1.0
speech,77.25,78.25,1.0,1.0
speech,78.25,79.25,1.0,1.0
speech,80.25,81.25,0.9968931674957275,0.9904724359512329
speech,82.25,83.25,0.999879002571106,0.9986972808837891
speech,83.25,84.25,1.0,1.0
speech,84.25,85.25,1.0,0.9999994039535522
speech,85.25,86.25,0.9978665709495544,0.992078423500061
speech,86.25,87.25,0.9915476441383362,0.9795370697975159
speech,87.25,88.25,0.9958935976028442,0.9877251386642456
speech,88.25,89.25,1.0,0.9999944567680359
speech,89.25,90.25,0.9999954700469971,0.9998393058776855
speech,90.25,91.25,0.9650830626487732,0.9404650926589966
speech,91.25,92.25,1.0,1.0
speech,92.25,93.25,1.0,1.0
speech,93.25,94.25,0.9999998807907104,0.9999973773956299
speech,94.25,95.25,1.0,1.0
