speech_recognition,start,end,max_confidence,mean_confidence,recognized_text
speech,1.25,1.56,0.40825504064559937,0.4082549214363098,
speech,3.25,4.25,0.7704368829727173,0.7393321394920349,the next about
speech,4.25,5.25,0.6179768443107605,0.5806319713592529,hi
speech,5.25,6.25,0.4972080588340759,0.4520336091518402,the kid
speech,6.25,7.25,0.5257152915000916,0.49193310737609863,the
speech,7.25,8.25,0.904034435749054,0.8794432878494263,my mind as
speech,8.25,9.25,0.8487901091575623,0.8147497773170471,
speech,10.25,11.25,0.5750344395637512,0.5342901349067688,
speech,14.25,15.25,0.5848057866096497,0.5663869380950928,
speech,26.25,27.25,0.7412518858909607,0.7380872964859009,
